Unnamed: 0,CRITERES_ATTRIBUTION_1,CRITERES_ATTRIBUTION_2
2202,PRIX,TECHNIQUE
2229,TECHNIQUE,PRIX
2244,PRIX,TECHNIQUE
2245,TECHNIQUE,PRIX
2272,TECHNIQUE,PRIX
2273,PRIX,TECHNIQUE
2274,PRIX,QUALITE
2275,PRIX,TECHNIQUE
2276,PRIX,TECHNIQUE
2282,PRIX,TECHNIQUE
2283,PRIX,TECHNIQUE
2292,PRIX,TECHNIQUE
2299,PRIX,TECHNIQUE
2300,PRIX,AUTRE
2303,PRIX,TECHNIQUE
2306,PRIX,TECHNIQUE
2308,PRIX,TECHNIQUE
2309,PRIX,TECHNIQUE
2314,PRIX,TECHNIQUE
2315,TECHNIQUE,PRIX
2318,PRIX,QUALITE
2328,PRIX,TECHNIQUE
2330,TECHNIQUE,PRIX
2331,PRIX,AUTRE
2332,PRIX,TECHNIQUE
2336,TECHNIQUE,PRIX
2337,PRIX,TECHNIQUE
2338,PRIX,QUALITE
2341,QUALITE,TECHNIQUE
2342,TECHNIQUE,PRIX
2345,TECHNIQUE,PRIX
2346,PRIX,TECHNIQUE
2347,PRIX,TECHNIQUE
2357,PRIX,AUTRE
2360,PRIX,TECHNIQUE
2370,TECHNIQUE,PRIX
2373,TECHNIQUE,PRIX
2375,TECHNIQUE,QUALITE
2376,PRIX,TECHNIQUE
2393,PRIX,QUALITE
2394,PRIX,TECHNIQUE
2399,PRIX,TECHNIQUE
2400,PRIX,TECHNIQUE
2401,PRIX,TECHNIQUE
2402,PRIX,AUTRE
2403,PRIX,TECHNIQUE
2405,PRIX,TECHNIQUE
2406,PRIX,TECHNIQUE
2407,TECHNIQUE,PRIX
2408,PRIX,TECHNIQUE
2409,TECHNIQUE,PRIX
2410,TECHNIQUE,PRIX
2412,PRIX,TECHNIQUE
2413,TECHNIQUE,PRIX
2419,PRIX,TECHNIQUE
2420,PRIX,QUALITE
2426,PRIX,TECHNIQUE
2428,PRIX,TECHNIQUE
2439,TECHNIQUE,PRIX
2440,PRIX,TECHNIQUE
2441,TECHNIQUE,PRIX
2442,AUTRE,AUTRE
2446,PRIX,TECHNIQUE
2447,PRIX,AUTRE
2449,PRIX,TECHNIQUE
2451,TECHNIQUE,PRIX
2455,TECHNIQUE,PRIX
2465,QUALITE,QUALITE
2471,PRIX,TECHNIQUE
2472,PRIX,TECHNIQUE
2473,PRIX,TECHNIQUE
2476,TECHNIQUE,TECHNIQUE
2477,TECHNIQUE,PRIX
2478,AUTRE,QUALITE
2479,PRIX,TECHNIQUE
2490,AUTRE,AUTRE
2491,PRIX,TECHNIQUE
2493,TECHNIQUE,PRIX
2494,PRIX,TECHNIQUE
2495,PRIX,AUTRE
2505,TECHNIQUE,PRIX
2508,PRIX,TECHNIQUE
2511,PRIX,AUTRE
2512,TECHNIQUE,PRIX
2516,TECHNIQUE,PRIX
2523,PRIX,TECHNIQUE
2529,PRIX,TECHNIQUE
2530,PRIX,TECHNIQUE
2539,QUALITE,QUALITE
2540,TECHNIQUE,PRIX
2541,PRIX,TECHNIQUE
2542,PRIX,TECHNIQUE
2544,TECHNIQUE,PRIX
2545,PRIX,TECHNIQUE
2547,TECHNIQUE,PRIX
2548,PRIX,TECHNIQUE
2549,AUTRE,PRIX
2550,TECHNIQUE,PRIX
2551,PRIX,TECHNIQUE
2552,PRIX,TECHNIQUE
2557,PRIX,AUTRE
2558,PRIX,TECHNIQUE
2559,PRIX,TECHNIQUE
2560,TECHNIQUE,QUALITE
2565,QUALITE,PRIX
2567,PRIX,TECHNIQUE
2570,PRIX,TECHNIQUE
2575,TECHNIQUE,PRIX
2582,TECHNIQUE,PRIX
2583,PRIX,TECHNIQUE
2588,PRIX,TECHNIQUE
2596,PRIX,TECHNIQUE
2606,TECHNIQUE,PRIX
2608,PRIX,TECHNIQUE
2609,PRIX,AUTRE
2611,TECHNIQUE,PRIX
2616,PRIX,TECHNIQUE
2622,TECHNIQUE,PRIX
2626,PRIX,TECHNIQUE
2627,TECHNIQUE,PRIX
2628,PRIX,QUALITE
2633,PRIX,TECHNIQUE
2642,PRIX,TECHNIQUE
2645,PRIX,AUTRE
2647,PRIX,TECHNIQUE
2656,TECHNIQUE,PRIX
2661,PRIX,TECHNIQUE
2667,PRIX,TECHNIQUE
2668,PRIX,PRIX
2670,TECHNIQUE,AUTRE
